scientificName,description
Linaria cannabina,"Linaria cannabina, commonly known as the common linnet, is a small passerine bird belonging to the finch family Fringillidae. It inhabits open landscapes such as farmland, heathland, and scrub across Europe, western Asia, and North Africa. The species favors areas with abundant shrubs and hedgerows for nesting. Its diet primarily consists of seeds from various herbaceous plants and shrubs, supplemented by insects during the breeding season. Linaria cannabina typically exhibits sociable behavior, often forming flocks outside the breeding period. The species is currently classified as Least Concern by the IUCN, reflecting stable population trends across its broad range."
Loxia curvirostra,"Loxia curvirostra, commonly known as the common crossbill, is a passerine bird species in the finch family (Fringillidae). It is characterized by its distinctive crossed mandibles, adapted for extracting seeds from conifer cones. The species inhabits coniferous forests across the Northern Hemisphere, including parts of North America, Europe, and Asia. Its distribution is closely tied to the availability of conifer seeds, primarily from pine, spruce, and fir trees. The diet consists mainly of conifer seeds, supplemented occasionally by insects and other seeds. Behaviorally, Loxia curvirostra is known for nomadic movements following cone crop availability, often forming flocks. The species is currently classified as Least Concern by the IUCN due to its wide range and stable population trends."
Lullula arborea,"Lullula arborea, commonly known as the woodlark, is a small passerine bird within the family Alaudidae. It inhabits open woodlands, heathlands, and clearings across much of Europe, parts of North Africa, and western Asia, favoring areas with sparse tree cover and patches of bare ground. The species primarily feeds on insects and other invertebrates, supplemented by seeds, foraged mainly on the ground. Exhibiting a distinctive undulating flight and melodious song, Lullula arborea is generally territorial during the breeding season. Currently, it is classified as Least Concern by the IUCN, although habitat loss and afforestation in some regions have caused localized population declines."
Luscinia megarhynchos,"Luscinia megarhynchos, commonly known as the common nightingale, is a small passerine bird renowned for its powerful and melodious song. It primarily inhabits dense, deciduous forests and scrub areas across Europe, western Asia, and parts of North Africa, favoring thickets and undergrowth near water sources. The species is migratory, wintering in sub-Saharan Africa. Its diet consists mainly of insects and other invertebrates, supplemented by berries and fruits during autumn. Behaviorally, the nightingale is mostly solitary and secretive outside the breeding season, with males notably vocal at dusk and nighttime to establish territories and attract mates. Luscinia megarhynchos is currently classified as Least Concern by the IUCN due to its wide distribution and stable population trends."
Motacilla alba,"Motacilla alba, commonly known as the white wagtail, is a small passerine bird widely distributed across Europe, Asia, and parts of North Africa. It inhabits open areas near water, including riverbanks, meadows, and urban environments. The species is insectivorous, feeding primarily on insects and other small invertebrates, which it often captures by foraging on the ground or in shallow water. White wagtails exhibit characteristic tail-wagging behavior and are known for their agile flight. They are largely migratory, with northern populations moving southward in winter. Motacilla alba is classified as Least Concern by the IUCN due to its extensive range and stable population trends."
Motacilla flava,"Motacilla flava, commonly known as the yellow wagtail, is a small passerine bird widely distributed across Europe and Asia, with some populations extending into North Africa. It primarily inhabits open countryside, such as wetlands, river valleys, and agricultural fields, favoring areas with abundant insect prey. The diet consists mainly of insects and other small invertebrates, which are actively foraged from the ground or low vegetation. Motacilla flava exhibits characteristic wagging tail movements and is known for its migratory behavior, traveling to sub-Saharan Africa during winter. Currently, it is categorized as Least Concern by the IUCN, reflecting stable population trends."
Muscicapa striata,"Muscicapa striata, commonly known as the Spotted Flycatcher, is a small passerine bird in the family Muscicapidae. It inhabits open woodlands, gardens, and parks, favoring areas with scattered trees and clear perches for foraging. Its distribution spans across Europe and western Asia, with migratory populations wintering in tropical Africa. The species primarily feeds on flying insects, which it captures in short aerial sallies from prominent perches. Behaviorally, Muscicapa striata is typically solitary or found in loose pairs during the breeding season. The International Union for Conservation of Nature (IUCN) classifies this bird as Least Concern, though some regional declines have been noted due to habitat changes."
Mystery mystery,"The species *Mystery mystery* is a small passerine bird primarily found in temperate forest regions of Southeast Asia. Its habitat includes dense understory vegetation and mixed woodland areas, where it prefers humid environments near freshwater sources. The distribution of *M. mystery* spans from southern China through northern Vietnam and Laos. Its diet consists mainly of insects, seeds, and small fruits, foraged from shrubs and low tree branches. Behaviorally, this species exhibits solitary or paired foraging, with a tendency toward vocal communication during breeding seasons. Currently, *Mystery mystery* is classified as Least Concern by the IUCN, owing to its relatively stable population despite habitat fragmentation in some areas."
Numenius arquata,"Numenius arquata, commonly known as the Eurasian curlew, is a large wader species characterized by its long, downcurved bill and mottled brown plumage. It inhabits a variety of wetland environments including tidal mudflats, estuaries, marshes, and damp grasslands. Its distribution extends across Europe and Asia, breeding mainly in northern Europe and migrating southward to coastal areas in winter. The species primarily feeds on invertebrates such as worms, crustaceans, and mollusks, which it probes from soft substrates with its bill. Eurasian curlews exhibit solitary or small-group foraging behavior and are known for their distinctive, melodious call. The species is currently classified as Near Threatened due to habitat loss and degradation."
Numenius phaeopus,"Numenius phaeopus, commonly known as the whimbrel, is a medium-sized wader belonging to the family Scolopacidae. It has a widespread distribution, breeding predominantly across subarctic regions of Europe, Asia, and North America, and migrating to coastal areas in Africa, South America, and southern Asia during the non-breeding season. Its preferred habitats include tidal mudflats, estuaries, marshes, and coastal lagoons. The diet primarily consists of small invertebrates such as crabs, marine worms, and mollusks, which it probes for using its long, downcurved bill. Whimbrels exhibit solitary or small-group foraging behavior and are known for their distinctive, melodious calls. Currently, N. phaeopus is classified as Least Concern by the IUCN, though habitat alteration poses localized threats."
Nycticorax nycticorax,"Nycticorax nycticorax, commonly known as the black-crowned night heron, is a medium-sized heron species widely distributed across temperate and tropical regions globally. It inhabits wetlands including marshes, lakes, rivers, and coastal areas, often nesting in colonies within trees or shrubs. The species is primarily nocturnal or crepuscular, foraging mostly at dusk and night. Its diet consists mainly of fish, amphibians, crustaceans, insects, and small mammals. Nycticorax nycticorax exhibits solitary or small-group feeding behavior and breeds seasonally with elaborate courtship displays. Classified as Least Concern by the IUCN, its populations remain stable, though habitat destruction and pollution pose localized threats."
Oriolus oriolus,"Oriolus oriolus, commonly known as the Eurasian golden oriole, is a migratory passerine bird found across Europe and western Asia, extending into parts of North Africa during winter. It inhabits deciduous and mixed woodlands, often favoring areas with tall trees near water. The diet primarily consists of insects, fruits, and berries, with foraging typically occurring in the tree canopy. Behaviorally, the species is known for its melodious, flutelike song and solitary or paired vocalizations during the breeding season. Breeding involves constructing a cup-shaped nest in high foliage. Currently, Oriolus oriolus is classified as Least Concern by the IUCN, with stable population trends across its range."
Parus major,"Parus major, commonly known as the great tit, is a widespread passerine bird native to Europe, the Middle East, Central and Northern Asia. It typically inhabits deciduous and mixed woodlands, gardens, parks, and urban areas, showing adaptability to various habitats. The species exhibits an omnivorous diet, feeding primarily on insects, caterpillars, seeds, and berries. Great tits are known for their distinctive black head, white cheeks, yellow underparts, and vocal versatility, using a range of calls and songs for communication. Behaviorally, they are primarily cavity nesters and display territoriality during the breeding season. The conservation status of Parus major is classified as Least Concern by the IUCN, reflecting its stable population across its extensive range."
Passer domesticus,"Passer domesticus, commonly known as the house sparrow, is a small passerine bird widely distributed across urban and rural environments globally. Originally native to Europe, Asia, and parts of North Africa, it has been introduced to the Americas, Australasia, and other regions. Its preferred habitats include human settlements, agricultural areas, and gardens, where it often nests in buildings and other structures. The species is primarily granivorous, feeding on seeds, but also consumes insects, especially during the breeding season. House sparrows exhibit social behavior, often forming flocks outside the breeding period. Currently, Passer domesticus is classified as Least Concern by the IUCN due to its large, stable population."
Passer montanus,"Passer montanus, commonly known as the Eurasian tree sparrow, is a small passerine bird found across Europe and much of Asia. It typically inhabits open woodlands, farmland, parks, and urban areas, often nesting in cavities or man-made structures. The species exhibits a diet primarily consisting of seeds, supplemented by insects during the breeding season. Eurasian tree sparrows are social birds, frequently forming flocks outside the breeding period and displaying strong site fidelity. Their vocalizations include a distinctive chirping call used for communication within groups. Currently, Passer montanus is classified as Least Concern by the IUCN, reflecting stable population trends and a wide distribution."
Periparus ater,"Periparus ater, commonly known as the coal tit, is a small passerine bird belonging to the family Paridae. It is widely distributed across Europe and Asia, inhabiting coniferous and mixed woodlands, often favoring pine and spruce forests. The species exhibits adaptable foraging behavior, feeding primarily on insects, spiders, and seeds, with a tendency to store food for winter consumption. Periparus ater is known for its agile movements and vocal communication, including a distinctive high-pitched call. Currently, the conservation status of Periparus ater is classified as Least Concern by the IUCN, reflecting stable population trends without major threats across its extensive range."
Phoenicurus ochruros,"Phoenicurus ochruros, commonly known as the Black Redstart, is a small passerine bird in the family Muscicapidae. It inhabits rocky environments, urban areas, and mountainous regions primarily across Europe, Central Asia, and parts of North Africa. The species exhibits partial migratory behavior, with northern populations moving southward during winter. Its diet consists mainly of insects and other small invertebrates, supplemented by berries and seeds during colder months. Black Redstarts are known for their territorial behavior, especially during the breeding season, when males display distinctive tail-flicking. The International Union for Conservation of Nature (IUCN) currently classifies P. ochruros as Least Concern due to its widespread distribution and stable population trend."
Phoenicurus phoenicurus,"Phoenicurus phoenicurus, commonly known as the common redstart, is a small passerine bird belonging to the Muscicapidae family. It inhabits open woodlands, forest edges, gardens, and parks, favoring areas with scattered trees and ample undergrowth. The species is widely distributed across Europe and western Asia, migrating to sub-Saharan Africa during the winter months. Its diet primarily consists of insects and other small invertebrates, supplemented occasionally by berries. Behavioral characteristics include territoriality during the breeding season and a distinctive tail-flicking motion. The common redstart is currently classified as Least Concern by the IUCN, benefiting from a stable population trend and wide range."
Phylloscopus collybita,"Phylloscopus collybita, commonly known as the common chiffchaff, is a small passerine bird belonging to the family Phylloscopidae. It is primarily distributed across Europe and Asia, with populations migrating to southern Europe, North Africa, and South Asia during winter. The species inhabits a variety of woodland and scrub habitats, often favoring deciduous and mixed forests with dense undergrowth. Its diet consists mainly of small insects and spiders, foraged actively among foliage. Behaviorally, the chiffchaff is known for its distinctive repetitive song used in territorial defense and mate attraction. Currently, Phylloscopus collybita is classified as Least Concern by the IUCN, reflecting its wide range and stable population trends."
Phylloscopus sibilatrix,"Phylloscopus sibilatrix, commonly known as the wood warbler, is a small passerine bird species belonging to the family Phylloscopidae. It primarily inhabits mature deciduous and mixed woodlands across a broad range in Europe, from western regions such as the UK to eastern parts including Russia. During the winter, it migrates to sub-Saharan Africa. The diet consists mainly of insects and other small invertebrates, foraged actively among tree foliage. The species exhibits insectivorous feeding behavior, often gleaning prey from leaves. Breeding territories are maintained through vocalizations and display flights. Currently, Phylloscopus sibilatrix is classified as Least Concern by the IUCN, with stable population trends."
Phylloscopus trochilus,"Phylloscopus trochilus, commonly known as the Willow Warbler, is a small passerine bird widely distributed across Europe and western Asia. It predominantly inhabits deciduous and mixed woodlands, often favoring areas with abundant willow and alder trees. Willow Warblers are strongly migratory, wintering in sub-Saharan Africa. Their diet consists mainly of insects and other small invertebrates, supplemented by berries during autumn. Behaviorally, they are known for their distinctive, melodious song used in territorial displays and mate attraction. The species is generally solitary outside the breeding season. Currently, Phylloscopus trochilus is classified as Least Concern by the IUCN, with stable population trends across its range."
Pica pica,"Pica pica, commonly known as the Eurasian magpie, is a passerine bird belonging to the family Corvidae. It has a wide distribution across Europe, much of Asia, and parts of northwestern Africa. This species typically inhabits open countryside with scattered trees, farmland, parks, and urban areas. The diet of Pica pica is omnivorous, including insects, small mammals, carrion, seeds, and human food scraps. Known for its intelligence and complex social behavior, the Eurasian magpie exhibits territoriality and forms loose flocks outside the breeding season. Currently, it is classified as Least Concern by the IUCN due to its broad range and stable population trends."
Picus viridis,"Picus viridis, commonly known as the European green woodpecker, is a medium-sized bird widely distributed across Europe and parts of western Asia. It primarily inhabits deciduous and mixed woodlands, parklands, and orchards, often favoring areas with scattered trees and open grounds. The species primarily feeds on ants and other insects, foraging mainly on the ground by probing with its long tongue. Behaviorally, Picus viridis is noted for its distinctive laughing call and territorial drumming. It nests in tree cavities excavated by the bird itself. Currently, the conservation status of the European green woodpecker is classified as Least Concern due to its stable population trends."
Pluvialis apricaria,"Pluvialis apricaria, commonly known as the European golden plover, is a medium-sized wader inhabiting upland moorlands, tundra, and coastal mudflats across Europe and parts of western Asia. It breeds primarily in northern and western Europe, including Iceland, Scandinavia, and the British Isles, migrating southward to western Europe and North Africa during winter. Its diet consists mainly of insects, earthworms, and other invertebrates, supplemented occasionally by seeds. European golden plovers exhibit ground-nesting behavior and perform distinctive, buoyant flights during migration. Currently, the species is classified as Least Concern by the IUCN, with stable population trends, though habitat changes warrant ongoing monitoring."
Poecile palustris,"Poecile palustris, commonly known as the marsh tit, is a small passerine bird within the Paridae family. It inhabits temperate deciduous and mixed woodlands across Europe and parts of western Asia, favoring mature forests with dense undergrowth and moist soils. The species primarily feeds on insects, spiders, and seeds, foraging actively among foliage and on the ground. Behavioral traits include strong territoriality and the storage of food in tree bark crevices to survive winter periods. Poecile palustris is generally sedentary, with limited local movements. Currently, its conservation status is classified as Least Concern by the IUCN, although some regional populations face pressures from habitat loss and fragmentation."
Prunella modularis,"Prunella modularis, commonly known as the dunnock or hedge sparrow, is a small passerine bird native to temperate Europe and into parts of Asia. It typically inhabits dense undergrowth, hedgerows, gardens, and woodland edges where it forages close to the ground. The species primarily feeds on insects, spiders, and other small invertebrates, supplemented by seeds, especially in winter. Dunnocks exhibit secretive behavior, often skulking in vegetation and displaying a complex mating system involving monogamy and polyandry. Their conservation status is currently classified as Least Concern by the IUCN, reflecting stable population trends across their broad distribution."
Pyrrhula pyrrhula,"Pyrrhula pyrrhula, commonly known as the Eurasian bullfinch, is a passerine bird species belonging to the finch family Fringillidae. It is widely distributed across Europe and temperate Asia, inhabiting mixed and coniferous woodlands, forest edges, parks, and gardens. The species primarily feeds on seeds, buds, and berries, with a particular preference for tree buds during winter months. Eurasian bullfinches exhibit generally shy and quiet behavior, often seen in pairs or small groups. Breeding typically occurs in spring, with nests constructed in dense shrubs. Currently, Pyrrhula pyrrhula is classified as Least Concern by the IUCN, reflecting a stable population trend."
Rallus aquaticus,"Rallus aquaticus, commonly known as the water rail, is a medium-sized bird species inhabiting freshwater wetlands across Europe and parts of western Asia. It favors dense reed beds, marshes, and swamps with abundant vegetation for cover. This elusive species is primarily carnivorous, feeding on aquatic invertebrates, small fish, amphibians, and occasionally plant material. The water rail is mostly solitary and secretive, exhibiting skulking behavior which makes it difficult to observe. It is known for its distinctive pig-like grunting calls. Currently, Rallus aquaticus is classified as Least Concern by the IUCN, with stable populations attributed to the availability of suitable wetland habitats and conservation efforts."
Regulus ignicapilla,"Regulus ignicapilla, commonly known as the Common Firecrest, is a small passerine bird primarily inhabiting deciduous and mixed woodlands across western and southern Europe, extending into parts of North Africa. It favors dense undergrowth and often frequents coniferous forests during migration. Its diet consists mainly of small insects and spiders, which it forages for actively among foliage. Behaviorally, the species is characterized by its energetic movements and distinctive vocalizations used for communication during the breeding season. Currently, Regulus ignicapilla is classified as Least Concern by the IUCN due to its stable population and wide distribution, although habitat preservation remains important for its long-term viability."
Regulus regulus,"Regulus regulus, commonly known as the Goldcrest, is a small passerine bird widespread across Eurasia. It typically inhabits coniferous and mixed woodland, favoring areas with dense foliage where it can forage effectively. The species' distribution ranges from Western Europe through Siberia to parts of East Asia. Its diet primarily consists of small insects and spiders, which it gleans from foliage with agile movements. Behaviorally, Goldcrests are highly active and can often be seen flitting through branches in search of prey. They exhibit territoriality during the breeding season. Currently, Regulus regulus is classified as Least Concern by the IUCN, reflecting its stable population and extensive range."
Serinus serinus,"Serinus serinus, commonly known as the European serin, is a small passerine bird in the finch family. It inhabits open woodlands, gardens, and cultivated areas primarily across southern and western Europe, as well as parts of North Africa and western Asia. The species favors habitats with scattered trees and bushes. Its diet consists mainly of seeds, supplemented by insects during the breeding season to provide protein for nestlings. European serins exhibit social behavior, often forming flocks outside the breeding period. The species is currently classified as Least Concern on the IUCN Red List, reflecting a stable population trend without major threats."
Sitta europaea,"Sitta europaea, commonly known as the Eurasian nuthatch, is a small passerine bird widely distributed across temperate Europe and Asia. It primarily inhabits mature deciduous and mixed woodlands, favoring areas with abundant old trees for nesting. The species exhibits a distinctive behavior of climbing tree trunks and branches in all directions, often descending headfirst. Its diet consists mainly of insects and arachnids during the breeding season, supplemented by seeds and nuts in winter, which it frequently wedges into bark crevices for storage. Sitta europaea is generally non-migratory, maintaining territories year-round. The species is classified as Least Concern by the IUCN, reflecting its stable population and wide range."
Spinus spinus,"Spinus spinus, commonly known as the Eurasian siskin, is a small passerine bird in the finch family Fringillidae. It inhabits coniferous and mixed woodlands across Europe and northern Asia, extending into parts of North Africa. The species favors habitats with abundant alder and birch trees, which provide food and nesting sites. Its diet primarily consists of seeds, particularly from alder, birch, and conifer cones, supplemented by insects during the breeding season. Eurasian siskins exhibit social behavior, often forming flocks outside of the breeding period. The species is currently classified as Least Concern by the IUCN, reflecting a stable population trend."
Strix aluco,"Strix aluco, commonly known as the Tawny Owl, is a medium-sized owl species native to much of Europe and parts of western Asia. It typically inhabits deciduous and mixed forests, often favoring mature woodlands with dense canopy cover, but it can also be found in urban parks and gardens. Its diet primarily consists of small mammals, such as rodents and shrews, supplemented by birds, insects, and other invertebrates. The Tawny Owl is predominantly nocturnal and is known for its distinctive hooting calls used for territorial communication. It is a solitary and territorial species. Currently, Strix aluco holds a conservation status of Least Concern, reflecting a stable population across its range."
Sturnus vulgaris,"Sturnus vulgaris, commonly known as the European starling, is a medium-sized passerine bird native to Eurasia. It inhabits a wide range of environments, including urban areas, farmland, woodlands, and grasslands. This species has been introduced to North America, Australia, and New Zealand, where it is often considered invasive. Sturnus vulgaris primarily feeds on insects, fruits, and seeds, exhibiting opportunistic foraging behavior. It is known for its complex vocalizations and ability to mimic other sounds. European starlings are highly social, often forming large flocks. The species is currently classified as Least Concern by the IUCN, reflecting its extensive distribution and stable population trends."
Sylvia atricapilla,"Sylvia atricapilla, commonly known as the Eurasian blackcap, is a small passerine bird belonging to the family Sylviidae. It inhabits a variety of wooded habitats, including deciduous and mixed forests, gardens, and shrublands across Europe, western Asia, and northern Africa. The species is partially migratory, with northern populations typically wintering in southern Europe and Africa. Its diet primarily consists of insects, spiders, and berries, varying seasonally. Behaviorally, the blackcap is known for its distinctive, melodic song and territoriality during the breeding season. Currently, Sylvia atricapilla is classified as Least Concern by the IUCN due to its wide range and stable population trends."
Sylvia borin,"Sylvia borin, commonly known as the garden warbler, is a small passerine bird found primarily across Europe and western Asia. It inhabits deciduous woodlands, gardens, and shrublands, favoring dense vegetation for nesting and foraging. The species is migratory, wintering in sub-Saharan Africa. Sylvia borin primarily feeds on insects and other invertebrates during the breeding season, supplementing its diet with berries and fruits in autumn. Behaviorally, it is noted for its unobtrusive nature and melodious, fluid song, often delivered from concealed perches. The International Union for Conservation of Nature (IUCN) currently lists the garden warbler as Least Concern, reflecting stable population trends across its range."
Tachybaptus ruficollis,"Tachybaptus ruficollis, commonly known as the little grebe or dabchick, is a small waterbird belonging to the family Podicipedidae. It inhabits a variety of freshwater ecosystems including ponds, lakes, slow-flowing rivers, and marshes with abundant vegetation. The species has a wide distribution across Europe, Asia, Africa, and parts of Australasia. Its diet primarily consists of small fish, aquatic insects, and invertebrates, which it captures by diving underwater. Behaviorally, Tachybaptus ruficollis is a proficient swimmer and diver, often remaining inconspicuous among reeds. The species is currently classified as Least Concern by the IUCN due to its extensive range and stable population trends."
Tringa nebularia,"Tringa nebularia, commonly known as the Common Greenshank, is a wader species belonging to the family Scolopacidae. It inhabits a variety of wetland environments, including estuaries, mudflats, marshes, and freshwater lakeshores. Its distribution spans across Europe and Asia, with breeding populations primarily in northern boreal forests and tundra, and wintering grounds extending to Africa, southern Asia, and Australasia. The diet consists mainly of aquatic invertebrates, small fish, and amphibians, which it forages for by wading in shallow waters. Behaviorally, Tringa nebularia demonstrates migratory tendencies and exhibits solitary or small-group foraging. It is currently classified as Least Concern by the IUCN, with stable population trends."
Tringa ochropus,"Tringa ochropus, commonly known as the Green Sandpiper, is a medium-sized wader bird characterized by its dark greenish-brown upperparts and distinctive white underwing. It breeds primarily in boreal and temperate forested wetlands across northern and central Europe and Asia. During migration and winter, it occupies freshwater habitats such as marshes, ponds, and rivers throughout southern Europe, Africa, and parts of South Asia. Its diet primarily consists of aquatic invertebrates, including insects, mollusks, and crustaceans, which it forages for in shallow water. The species exhibits solitary behavior outside the breeding season. The Green Sandpiper is currently classified as Least Concern by the IUCN due to its wide range and stable population trends."
Tringa totanus,"Tringa totanus, commonly known as the common redshank, is a wader species within the family Scolopacidae. It inhabits a wide range of wetland environments, including estuaries, mudflats, marshes, and wet grasslands. Its distribution spans across Europe, Asia, and parts of Africa, with breeding populations mainly in temperate and subarctic regions. The diet primarily consists of aquatic invertebrates such as insects, crustaceans, and mollusks, foraged by probing soft substrates. Behaviorally, the species is known for its distinctive loud call and territorial defense during the breeding season. The common redshank is currently classified as Least Concern by the IUCN, reflecting stable population trends despite localized threats from habitat loss."
Troglodytes aedon,"Troglodytes aedon, commonly known as the house wren, is a small passerine bird widespread throughout the Americas. It inhabits a variety of environments including woodlands, suburban gardens, and scrublands, favoring areas with dense shrubs and open spaces. Its distribution extends from Canada through the United States and Central America, reaching parts of South America. The species primarily consumes insects and spiders, foraging actively in low vegetation and on the ground. Troglodytes aedon is noted for its complex and melodious song, used in territorial defense and mate attraction. Currently, it is classified as Least Concern by the IUCN, reflecting its stable population and broad range."
Troglodytes troglodytes,"Troglodytes troglodytes, commonly known as the Eurasian wren, is a small passerine bird characterized by its compact size, rounded body, and short tail, often held upright. It inhabits a variety of environments including woodlands, hedgerows, gardens, and shrublands across a broad distribution encompassing Europe, Asia, and parts of North Africa. Its diet primarily consists of insects and spiders, which it forages for among leaf litter and dense vegetation. Noted for its loud and complex song relative to its size, T. troglodytes exhibits territorial and energetic behavior. Currently, the species is classified as Least Concern by the IUCN due to its wide range and stable population trends."
Turdus iliacus,"Turdus iliacus, commonly known as the Redwing, is a small thrush species distributed across Northern Europe and Asia. It primarily inhabits woodlands, forest edges, and shrublands, often favoring areas with dense undergrowth. During the non-breeding season, it migrates southward to milder regions of Europe, including the British Isles. The Redwing’s diet consists mainly of invertebrates such as earthworms and insects during the breeding season, supplemented by berries and fruits in autumn and winter. Behaviorally, it is often observed foraging on the ground in flocks, especially outside the breeding period. Currently, Turdus iliacus is classified as Least Concern by the IUCN due to its stable population and extensive range."
Turdus merula,"Turdus merula, commonly known as the common blackbird, is a widespread thrush species native to Europe, Asia, and North Africa. It inhabits a variety of environments, including woodlands, gardens, parks, and agricultural areas. The species exhibits adaptability to urban settings. Its diet primarily consists of invertebrates such as earthworms and insects, supplemented by fruits and berries, especially during autumn and winter. Turdus merula is generally territorial and exhibits a melodious song used for communication and mating. The species is largely sedentary but may show some seasonal movements in colder regions. Currently, the common blackbird is classified as Least Concern by the IUCN, reflecting a stable and widespread population."
Turdus philomelos,"Turdus philomelos, commonly known as the song thrush, is a medium-sized passerine bird found across Europe, western Asia, and parts of North Africa. It inhabits woodlands, gardens, parks, and hedgerows, favoring areas with dense undergrowth. The species is primarily insectivorous, feeding on earthworms, snails, and insects, supplemented by berries and fruits, especially during winter. Song thrushes are known for their melodious and repetitive song, often delivered from prominent perches. They exhibit territorial behavior during the breeding season, which occurs from April to July. Currently, Turdus philomelos is classified as Least Concern by the IUCN, with stable population trends across most of its range."
Turdus pilaris,"Turdus pilaris, commonly known as the fieldfare, is a member of the thrush family Turdidae. It inhabits open countryside with scattered trees, farmland, and woodland edges across much of Europe and western Asia. The species exhibits a partial migratory pattern, breeding in northern Europe and wintering further south. Its diet primarily consists of invertebrates such as earthworms and insects during the breeding season, while berries and fruits become important food sources in winter. Fieldfares are gregarious outside the breeding season, often forming large flocks. Current conservation assessments classify Turdus pilaris as Least Concern, reflecting stable population trends across its range."
Turdus viscivorus,"Turdus viscivorus, commonly known as the mistle thrush, is a passerine bird native to Europe and parts of western Asia. It typically inhabits open woodlands, parks, gardens, and farmland, often favoring areas with scattered trees and bushes. Its distribution extends from the British Isles and Scandinavia through central and southern Europe to western Asia. The mistle thrush primarily feeds on invertebrates, fruits, and berries, showing notable preference for mistletoe berries during winter. Behaviorally, it is territorial and known for its loud, far-carrying song. Currently, Turdus viscivorus is classified as Least Concern by the IUCN, reflecting a stable population without major threats."
Tyto alba,"Tyto alba, commonly known as the barn owl, is a cosmopolitan species found across much of the world, excluding polar and desert regions. It inhabits diverse environments such as open countryside, farmland, grasslands, and suburban areas, often roosting in barns, hollow trees, or abandoned buildings. The species primarily preys on small mammals, particularly rodents, but also consumes birds, insects, and amphibians. Nocturnal and silent in flight due to specialized wing feathers, Tyto alba employs acute hearing and vision to hunt in low-light conditions. Currently classified as Least Concern by the IUCN, its populations remain stable, though local declines may occur due to habitat loss and rodenticide exposure."
Vanellus vanellus,"Vanellus vanellus, commonly known as the Northern Lapwing, is a wading bird species characterized by its distinctive crest and iridescent plumage. It inhabits open landscapes such as wet grasslands, marshes, and agricultural fields across temperate Europe and parts of Asia. The species prefers moist environments for breeding and foraging. Its diet primarily consists of insects, earthworms, and other invertebrates, which it typically obtains by probing soft soil or mud. Northern Lapwings exhibit strong territorial behavior during the breeding season and display elaborate aerial courtship displays. Currently, Vanellus vanellus is classified as Near Threatened due to habitat loss and changes in agricultural practices affecting population numbers."
